id,loc,phe
B1159,4,2066.33333333333
B1160,4,2384
B1110,4,3138
B1111,4,2760
B1161,4,2555.33333333333
B1062,4,2534
B1010,4,2385.33333333333
B1217,4,2145.33333333333
B1218,4,2659.33333333333
B1219,4,2545.66666666667
B1220,4,2321
B1058,4,2746.33333333333
B1060,4,2310.33333333333
B1061,4,2088
B1012,4,2601
B1019,4,3098.33333333333
B1075,4,1960.33333333333
A1259,4,2252.33333333333
M1463,5,3082.33333333333
A1257,5,3199
A1258,5,3418.33333333333
A1302,5,2674.33333333333
M1464,5,2952
A1261,5,2952
A1262,5,3153.33333333333
M1467,5,4057
B1053,5,3783.33333333333
A1260,5,3284.33333333333
M1465,5,3358
M1469,5,3129.66666666667
A1304,5,3345.33333333333
M1471,5,3329
A1263,5,2998
B1201,5,2944
B1202,5,2988.66666666667
B1203,5,3062
B1102,5,3594
B1205,5,3241.66666666667
B1151,5,2735.33333333333
B1206,5,3137
B1152,5,3520
B1207,5,3378.33333333333
B1208,5,3193
A1307,5,3262.33333333333
A1309,5,3276.33333333333
A1310,5,3284.66666666667
A1313,5,2742.33333333333
A1314,5,3293.33333333333
A1311,5,3090.66666666667
A1312,5,3148
M1345,5,2903
M1351,5,3138.33333333333
M1353,5,3157.66666666667
M1354,5,3045.66666666667
M1356,5,3345
M1357,5,3466.66666666667
M1358,5,2860.66666666667
M1359,5,2131.66666666667
M1360,5,3380
M1361,5,3775.33333333333
B1209,5,3108.66666666667
B1210,5,2563.33333333333
B1103,5,3232.33333333333
B1153,5,3199.66666666667
B1005,5,3525.66666666667
B1104,5,3899.66666666667
B1105,5,2721
B1055,5,3377.66666666667
B1106,5,3248.66666666667
B1107,5,3465.66666666667
B1211,5,2752.66666666667
A1264,5,3519.33333333333
A1265,5,3342.33333333333
A1316,5,3810.33333333333
A1269,5,3425
A1273,5,3729
A1274,5,3456.66666666667
A1275,5,3122.33333333333
A1276,5,3703
A1279,5,1965.66666666667
M1367,5,2823.33333333333
B1155,5,3106.66666666667
B1057,5,3119
B1157,5,2971.33333333333
B1011,5,2835.33333333333
A1267,5,3341.33333333333
A1272,5,3409.66666666667
A1270,5,3213
A1277,5,3114
A1321,5,3076
A1317,5,3781
A1318,5,3246.66666666667
A1319,5,3923.33333333333
A1320,5,2662
A1268,5,2887.33333333333
M1362,5,3244
M1363,5,2870.33333333333
M1347,5,2979
M1364,5,3144.66666666667
M1365,5,3088
M1368,5,3497.66666666667
M1366,5,2874.33333333333
B1216,5,2637
